areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-06-27,15_19,2159,13818,447.2
E92000001,England,nation,2021-06-27,20_24,3041,20285,581.6
E92000001,England,nation,2021-06-27,25_29,1562,11558,304.0
E92000001,England,nation,2021-06-27,30_34,1128,7433,195.2
E92000001,England,nation,2021-06-27,35_39,955,6096,163.3
E92000001,England,nation,2021-06-27,40_44,824,5362,157.0
E92000001,England,nation,2021-06-27,45_49,722,4706,126.6
E92000001,England,nation,2021-06-27,50_54,598,3723,95.3
E92000001,England,nation,2021-06-27,55_59,409,2681,73.0
E92000001,England,nation,2021-06-27,60+,623,3774,28.0
E92000001,England,nation,2021-06-27,60_64,238,1451,46.6
E92000001,England,nation,2021-06-27,65_69,116,781,27.9
E92000001,England,nation,2021-06-27,70_74,125,633,22.8
E92000001,England,nation,2021-06-27,75_79,70,423,21.8
E92000001,England,nation,2021-06-27,80_84,40,266,18.5
E92000001,England,nation,2021-06-27,85_89,15,139,15.8
E92000001,England,nation,2021-06-27,90+,19,81,15.7
E92000001,England,nation,2021-06-27,unassigned,3,45,
E92000001,England,nation,2021-06-26,00_04,258,1785,54.1
E92000001,England,nation,2021-06-26,00_59,12611,86792,202.7
E92000001,England,nation,2021-06-26,05_09,775,5142,145.3
E92000001,England,nation,2021-06-26,10_14,1374,9438,281.4
E92000001,England,nation,2021-06-26,15_19,1863,12848,415.8
E92000001,England,nation,2021-06-26,20_24,2740,18897,541.8
E92000001,England,nation,2021-06-26,25_29,1516,10876,286.1
E92000001,England,nation,2021-06-26,30_34,996,6895,181.1
E92000001,England,nation,2021-06-26,35_39,825,5627,150.7
E92000001,England,nation,2021-06-26,40_44,752,4980,145.9
E92000001,England,nation,2021-06-26,45_49,637,4342,116.9
E92000001,England,nation,2021-06-26,50_54,506,3472,88.9
E92000001,England,nation,2021-06-26,55_59,369,2490,67.8
E92000001,England,nation,2021-06-26,60+,550,3462,25.7
E92000001,England,nation,2021-06-26,60_64,228,1344,43.2
E92000001,England,nation,2021-06-26,65_69,98,743,26.6
E92000001,England,nation,2021-06-26,70_74,82,558,20.1
E92000001,England,nation,2021-06-26,75_79,74,376,19.4
E92000001,England,nation,2021-06-26,80_84,39,243,16.9
E92000001,England,nation,2021-06-26,85_89,21,132,15.0
E92000001,England,nation,2021-06-26,90+,8,66,12.8
E92000001,England,nation,2021-06-26,unassigned,0,45,
E92000001,England,nation,2021-06-25,00_04,282,1661,50.3
E92000001,England,nation,2021-06-25,00_59,13907,80822,188.7
E92000001,England,nation,2021-06-25,05_09,881,4700,132.8
E92000001,England,nation,2021-06-25,10_14,1463,8683,258.9
E92000001,England,nation,2021-06-25,15_19,2066,12045,389.8
E92000001,England,nation,2021-06-25,20_24,3151,17696,507.4
E92000001,England,nation,2021-06-25,25_29,1594,10208,268.5
E92000001,England,nation,2021-06-25,30_34,1079,6396,168.0
E92000001,England,nation,2021-06-25,35_39,906,5222,139.9
E92000001,England,nation,2021-06-25,40_44,833,4607,134.9
E92000001,England,nation,2021-06-25,45_49,724,4040,108.7
E92000001,England,nation,2021-06-25,50_54,518,3237,82.8
E92000001,England,nation,2021-06-25,55_59,410,2327,63.4
E92000001,England,nation,2021-06-25,60+,585,3202,23.8
E92000001,England,nation,2021-06-25,60_64,211,1221,39.2
E92000001,England,nation,2021-06-25,65_69,122,703,25.1
E92000001,England,nation,2021-06-25,70_74,94,525,18.9
E92000001,England,nation,2021-06-25,75_79,75,336,17.3
E92000001,England,nation,2021-06-25,80_84,51,223,15.5
E92000001,England,nation,2021-06-25,85_89,23,127,14.4
E92000001,England,nation,2021-06-25,90+,9,67,13.0
E92000001,England,nation,2021-06-25,unassigned,5,46,
E92000001,England,nation,2021-06-24,00_04,312,1557,47.2
E92000001,England,nation,2021-06-24,00_59,14098,75027,175.2
E92000001,England,nation,2021-06-24,05_09,825,4243,119.9
E92000001,England,nation,2021-06-24,10_14,1444,7931,236.4
E92000001,England,nation,2021-06-24,15_19,2071,11246,363.9
E92000001,England,nation,2021-06-24,20_24,2986,16419,470.7
E92000001,England,nation,2021-06-24,25_29,1805,9647,253.8
E92000001,England,nation,2021-06-24,30_34,1158,6041,158.6
E92000001,England,nation,2021-06-24,35_39,964,4832,129.4
E92000001,England,nation,2021-06-24,40_44,833,4212,123.4
E92000001,England,nation,2021-06-24,45_49,715,3750,100.9
E92000001,England,nation,2021-06-24,50_54,580,3029,77.5
E92000001,England,nation,2021-06-24,55_59,405,2120,57.8
E92000001,England,nation,2021-06-24,60+,568,3002,22.3
E92000001,England,nation,2021-06-24,60_64,221,1151,37.0
E92000001,England,nation,2021-06-24,65_69,120,650,23.2
E92000001,England,nation,2021-06-24,70_74,91,494,17.8
E92000001,England,nation,2021-06-24,75_79,58,302,15.6
E92000001,England,nation,2021-06-24,80_84,44,204,14.2
E92000001,England,nation,2021-06-24,85_89,20,126,14.3
